"s","t","y","muhat","sigmahat","risk_c_95p06391","event_c_95p06391","risk_c_110p74993","event_c_110p74993"
2,48,74.5844296513249,75.652619580054,3.03002092101122,7.45359329812345e-11,0,0,0
2,49,77.2765704549368,77.4503716552619,3.73664069247706,1.21607848235783e-06,0,0,0
2,50,76.5190023445876,75.4490987572152,3.99898826348516,4.67271606408026e-07,0,0,0
2,51,70.252776741305,72.5245004011107,2.52991391327761,0,0,0,0
2,52,71.876870245123,71.4957171022069,3.22243733997032,1.29896093881143e-13,0,0,0
2,53,74.3661740666133,72.0965713246634,3.35129138568743,3.60877994154407e-12,0,0,0
2,54,72.0424600062424,72.2572578987712,3.09911054742151,9.25926002537381e-14,0,0,0
2,55,73.553717611183,71.804434540286,3.08259463030644,2.25375273998907e-14,0,0,0
2,56,76.2198338147657,73.1658967486094,3.55882717925061,3.79784204085354e-10,0,0,0
2,57,75.7142029750896,84.3597117660759,5.66261555780975,0.0293570882708333,0,1.57775891107548e-06,0
2,58,83.773454955654,79.1645251534171,6.86181975756625,0.0102496908942357,0,2.08159241443795e-06,0
2,59,75.898136012798,82.0563883930111,4.75740551959147,0.00312695585633671,0,8.13019873646681e-10,0
2,60,70.9652405067458,68.2822946489279,4.7122738209439,6.60314847245047e-09,0,0,0
2,61,70.2058316203589,69.6474424045586,2.85458303423259,0,0,0,0
2,62,67.8233383949014,65.0786057916747,2.49187435040161,0,0,0,0
2,63,66.7030646724362,66.5300655730877,2.99634945379187,0,0,0,0
2,64,67.0957807068249,65.8649603111692,2.29634544057274,0,0,0,0
2,65,72.4141138494638,71.4382939956957,3.20447618004784,8.35997937542743e-14,0,0,0
2,66,71.2073548389413,73.8935181700371,3.04237363785109,1.71940239823698e-12,0,0,0
2,67,74.9577523482898,84.9217269598082,4.34829190584999,0.00983846010544276,0,1.4264189829305e-09,0
2,68,75.6929700103248,76.5503904158897,7.4717930757647,0.00660998371572796,0,2.35673950255144e-06,0
2,69,68.0571658507518,77.6304567435857,3.32709080631616,8.03541063687518e-08,0,0,0
2,70,65.0273423529795,62.8783307647191,6.57763930972794,4.96095746149727e-07,0,1.69531055860261e-13,0
2,71,67.0809339765559,65.315563566123,2.55769695169064,0,0,0,0
2,72,66.7241107883393,66.0265310803352,2.50240571197597,0,0,0,0
2,73,67.1811955835533,66.5572255912561,2.39954922306046,0,0,0,0
2,74,73.9365275339217,72.6692479376179,2.23730723670205,0,0,0,0
2,75,69.699780183561,69.9276521425705,2.247796824966,0,0,0,0
2,76,68.8480892920969,68.3995772169072,3.47558380062936,8.43769498715119e-15,0,0,0
2,77,71.8544614034707,78.598124245515,3.77191518229939,6.34554265421805e-06,0,0,0
2,78,72.1921582762385,91.9764174982933,6.16890574000482,0.308364112248577,0,0.00117019742616131,0
2,79,68.6738705716054,72.4405244349733,13.2617950172757,0.0440127252133302,0,0.001934164227961,0
2,80,65.6889143730352,69.2210970051594,4.09287244700458,1.35867650463695e-10,0,0,0
2,81,67.5506168164237,67.3608174151525,3.65654723593476,1.77635683940025e-14,0,0,0
2,82,68.5348311035138,67.9864704562988,2.79180252296727,0,0,0,0
2,83,64.5990400724264,65.016277698059,2.45764069864388,0,0,0,0
2,84,68.8797948459176,67.3084648953116,3.09386654431917,0,0,0,0
2,85,66.0309650654556,62.1568950182467,2.98482753860598,0,0,0,0
2,86,66.3172061211308,62.9280954399783,3.91181255828182,1.11022302462516e-16,0,0,0
2,87,71.1548355808044,75.4830546405423,4.00900228931341,5.19191661441099e-07,0,0,0
