"scenario_id","A_RMSE","B_RMSE","C_RMSE","D_RMSE","A_Bias","B_Bias","C_Bias","D_Bias","rep"
1,0.0789152207119621,0.0755492460702024,0.0714651601080914,0.0679610652225118,-0.000785271569929194,-0.00105648333321065,-0.00122571608034033,-0.00169969534314057,1
1,0.0874054628294182,0.0838389543599962,0.0836970229005937,0.0790095852397564,-0.0014349902997965,-0.00201162041539229,0.000178189348636651,-0.0010203346696868,2
1,0.0885721967499785,0.0854121114507776,0.0763976872228604,0.0725855739577891,-0.00999813817622229,-0.0100145905834598,-0.00424779144470789,-0.00529218367232645,3
1,0.108610852757612,0.105413934388822,0.0796429856481696,0.0769385921317004,-7.8049564915263e-05,-0.000409023317975252,0.0017860394832131,0.0024581990844071,4
1,0.0770092944380739,0.095838751724314,0.0821125091633162,0.0651198138891474,0.0131262782303848,0.0070614731229033,0.0112625690917291,0.0130361946009659,5
1,0.0765920541209627,0.0729799193716177,0.071893496776692,0.0697530484019075,0.00683573873707059,0.00618770275482746,0.00713545245657627,0.0109439872553568,6
1,0.0839872721143018,0.080933339449175,0.0742162953067293,0.0704107157833542,0.00629785278490234,0.00577247388296631,0.00567080166660897,0.00508123480117947,7
1,0.10345365424004,0.0811162236124984,0.10345365424004,0.0811162236124984,-0.0034138304608472,-0.00188588921751348,-0.0034138304608472,-0.00188588921751348,8
1,0.0789343986857854,0.0751533779387561,0.0733342920708286,0.0814626513513243,0.00938415593127554,0.00875284393327104,0.00610562943648373,0.0192450649688064,9
1,0.0849379304677707,0.0815900664875971,0.084043274466736,0.0792490353502664,-0.00417317881725088,-0.0046074760516708,-0.00375312814693659,-0.00472296479283384,10
1,0.0890333818066111,0.104557675153953,0.0671330991991736,0.0958646044347866,-0.00557536373664107,-0.0115590296712848,-0.000307326171575045,0.0180246938087441,11
1,0.0884084714287362,0.0869013421926091,0.0775227156827478,0.0869013421926091,0.00113806209370996,-0.00492353540942463,0.000920091421362221,-0.00492353540942463,12
1,0.0850959971226876,0.0813937375184103,0.0938332978019833,0.0793264947744723,0.00190975670361138,0.00125497288297347,0.0200518038173686,0.0133170854462919,13
1,0.0831203309698608,0.0803437282333059,0.0898393551803224,0.0739284635202185,-0.00847102702188582,-0.00899024522881128,0.00440967356893855,-0.00869875122371632,14
1,0.112545435925491,0.0739630856989089,0.132918805742053,0.0693127066897733,-0.00466514576985216,-0.00383967502341956,0.0248745499254355,-0.00563917212403097,15
1,0.0806645843498827,0.0778562007582812,0.0769689846961578,0.0736493080787799,0.00191206545754938,0.00149282250178799,0.00523715154846419,0.00490386651683489,16
1,0.101283979139091,0.0907088904510084,0.0957416587419201,0.0894586927035002,-0.0120142217143108,-0.00307996846315461,0.0106415389918675,0.00836473463765553,17
1,0.0723783908219089,0.0687532542272492,0.0815378996147148,0.0629684800881561,0.00481583330711188,0.00425216151406497,0.0156788716814238,0.00433958957812476,18
1,0.0695790314727635,0.0672353484252359,0.064566446052088,0.0617236614086065,-0.00542110894626953,-0.0057489589935156,-0.00460855103279185,-0.005631447108892,19
1,0.0722034103476897,0.0688504502947848,0.0801320683695177,0.0624791813033408,0.0031822350299936,0.00271343509405591,0.0144347847873696,0.00182766979119278,20
1,0.08282611162226,0.0799413378748397,0.0860499220924465,0.0792940414252609,-0.0048482047384942,-0.00534432418875207,0.00306392658047416,0.000547335270446098,21
1,0.0806589157769742,0.0776747996696659,0.0756090986713694,0.0724518250122269,-0.00553919247458272,-0.00599877769416751,-0.00496890650689262,-0.00571483614432277,22
1,0.0806571419830731,0.0770511375975906,0.0728014287011814,0.0685591766420505,0.00221089638507548,0.00176447488835458,0.00287713379151871,0.00176161720347806,23
1,0.081199466041371,0.0781620673821129,0.077094927125286,0.0748103894089197,0.00653622928922489,0.00621309162326424,0.00655488311187669,0.0138061719561863,24
1,0.0896101734797882,0.087414054094355,0.0804414119906363,0.0760614792726577,-0.00846624074537499,-0.00891890932095844,-0.00323112312814478,-0.00451076688438024,25
1,0.098228307502576,0.0893833469885108,0.098228307502576,0.0772796963765993,0.0015352046254423,0.00100807458494202,0.0015352046254423,0.019468334704772,26
