"model","AUC_stress","AUC_event","Brier_event","event_rate"
"D: ARXp-GARCHXp (X in variance)",0.921,0.927,0.0853,0.3
"B: ARXp-GARCH  (no X in variance)",0.934,0.929,0.0843,0.3
