"scenario_id","T","rep","E_RMSE","F_RMSE","E_Bias","F_Bias"
1,120,1,0.0678714141135341,0.158796693836012,-0.00355769340253507,-0.000406210898378797
1,120,2,0.0762243041407777,0.174076024539606,-0.00701495943705929,0.00028685294707104
1,120,3,0.0810993939953526,0.150822230401655,-0.0114610368165739,-0.00431225319962286
1,120,4,0.111433486078874,0.170210685252822,-0.000393589798746784,-0.00630534434798834
1,120,5,0.100913923870236,0.154433665425972,0.00686630721755133,0.0121871926252921
1,120,6,0.0695614671109755,0.152617177769787,0.00506127691790342,0.00768945950446039
1,120,7,0.0766534947998506,0.154813967910175,0.00535758410153753,0.00628024056575187
1,120,8,0.0783854650751295,0.152623023697827,-0.00322084269261417,-0.0151586898839501
1,120,9,0.0707526600344172,0.158173058355862,0.0059094690764647,0.00917977399187772
1,120,10,0.0776320331625036,0.156976925377607,-0.00572868955917029,-0.00244809692985658
1,120,11,0.102545238013195,0.148780841961512,-0.00908786917431752,0.00316474126012882
1,120,12,0.0857359636353069,0.175533363668366,-0.00675192727108323,0.0194543734170303
1,120,13,0.0789727073091642,0.167669365994012,-0.00146507337487384,0.00470229530103082
1,120,14,0.0743567799370438,0.161226780466338,-0.0106742776436637,-0.00868268231636886
1,120,15,0.0721537819296539,0.143576992980528,-0.00486703573370191,-0.00426816784623773
1,120,16,0.0728237480726363,0.156122245814389,-0.000116084056929903,0.00254821680347771
1,120,17,0.090110892485398,0.181111934269789,-0.00290405372062743,-0.0353448228579108
1,120,18,0.0638647233520848,0.147757107568822,0.00236143992539964,0.00514497017958978
1,120,19,0.0567748289503544,0.134035656767624,-0.00528878961099517,-0.00567735978180043
1,120,20,0.0646368787881807,0.148733731793543,0.0018458272908259,-0.00444720650762383
1,120,21,0.0744303566310953,0.155526773895868,-0.00483492169409815,-0.0111785350747049
1,120,22,0.0735094339506253,0.154915318681107,-0.00744021051325851,-0.00685888412155445
1,120,23,0.0719180442120464,0.160411396476118,-0.00141887166132287,0.00345187019868543
1,120,24,0.0743052349507413,0.163366217884499,0.00171289711446288,0.008005786053209
1,120,25,0.0907584993840776,0.155970165086387,-0.00775385950629734,-0.00135777614459482
1,120,26,0.0964637515091773,0.198891672741489,-0.0012944952644726,-0.0375532014569798
1,120,27,0.150035304936574,0.165980437682655,-0.0017287584302139,0.00284389831874326
1,120,28,0.0830071928882195,0.159261304316563,-0.0107613586159105,-0.00180808906269747
1,120,29,0.0634145427371866,0.1473368451662,0.000884602061476109,0.00680386715763145
1,120,30,0.0622524548774932,0.136851124398482,-0.00197658850947026,-0.00282171567975824
1,120,31,0.0773832860726573,0.170796408824324,-0.00829922622832636,-0.00344792398683012
1,120,32,0.0631471201524573,0.138929192447664,-0.0067487068380934,-0.00782993889540366
1,120,33,0.0704453465547352,0.201619235399245,-0.00196623958321594,0.0528832167601546
1,120,34,0.0946944006077715,0.144497012845155,-0.000251421026901915,0.000383948171072626
1,120,35,0.0716507745688893,0.139799559072327,-0.00588379311195215,-0.00127334654194068
1,120,36,0.142229579106071,0.168421721654311,-0.00644691167470855,-0.0112838187287807
1,120,37,0.110368680116788,0.181670572554381,-0.00696984289097576,0.00560020393625488
1,120,38,0.112044402159015,0.166407614942377,0.00376382615674131,-0.0128244230290273
1,120,39,0.0652410422984025,0.138359334268975,-6.50747076363027e-05,0.00310537829096386
1,120,40,0.12513240523281,0.160815703252673,-0.0183121976140362,-0.00185209963068791
1,120,41,0.0816581623877463,0.185316243228793,-0.00891765159736598,0.0150990544153143
1,120,42,0.103573841585757,0.175433061132003,-0.00476430879326469,-0.023699793312399
1,120,43,0.109940721239387,0.174367610142741,-0.0177225309071899,-0.0116017354907975
1,120,44,0.114681136810223,0.182766364006883,0.000645163538661618,-0.00910150372436518
1,120,45,0.112039421368493,0.168741204272102,-0.011014403947593,0.00803090276290616
1,120,46,0.0754815776346529,0.160630314960789,-0.00354640369411143,0.000654009425989496
1,120,47,0.0769767228889747,0.157466276610147,0.00382379391784482,0.00453368995162798
1,120,48,0.0678646234894917,0.16007325580173,-0.00454325233222222,-0.00120289030496
1,120,49,0.0700424734319428,0.150212269413906,-0.00154359752069437,0.00108919878078656
1,120,50,0.0721608957612077,0.160287060352422,-0.00210991834690427,-0.000166105778489787
1,120,51,0.0655026066828589,0.143625269277265,-0.00308663903565105,-0.00290616065753123
